Países;Sexo;Periodo;Total
Francia;Hombres;2016;45,6
Francia;Hombres;2015;45,5
Francia;Hombres;2014;45,5
Francia;Mujeres;2020;54,9
Francia;Mujeres;2019;54,5
Francia;Mujeres;2018;54,5
Francia;Mujeres;2017;54,5
Francia;Mujeres;2016;54,4
Francia;Mujeres;2015;54,5
Francia;Mujeres;2014;54,5
Croacia;Hombres;2020;42,8
Croacia;Hombres;2019;42,8
Croacia;Hombres;2018;43
Croacia;Hombres;2017;43,2
Croacia;Hombres;2016;43,2
Croacia;Hombres;2015;43,5
Croacia;Hombres;2014;43,2
Croacia;Mujeres;2020;57,2
Croacia;Mujeres;2019;57,2
Croacia;Mujeres;2018;57
Croacia;Mujeres;2017;56,8
Croacia;Mujeres;2016;56,8
Croacia;Mujeres;2015;56,5
Croacia;Mujeres;2014;56,8
Italia;Hombres;2020;44,2
Italia;Hombres;2019;44,5
Italia;Hombres;2018;44,5
Italia;Hombres;2017;44,4
Italia;Hombres;2016;44
Italia;Hombres;2015;43,7
Italia;Hombres;2014;43,1
Italia;Mujeres;2020;55,8
Italia;Mujeres;2019;55,5
Italia;Mujeres;2018;55,5
Italia;Mujeres;2017;55,6
Italia;Mujeres;2016;56
Italia;Mujeres;2015;56,3
Italia;Mujeres;2014;56,9
Chipre;Hombres;2020;45,9
Chipre;Hombres;2019;46,8
Chipre;Hombres;2018;46,9
Chipre;Hombres;2017;46
Chipre;Hombres;2016;45,3
Chipre;Hombres;2015;43,2
Chipre;Hombres;2014;42,6
Chipre;Mujeres;2020;54,1
Chipre;Mujeres;2019;53,2
Chipre;Mujeres;2018;53,1
Chipre;Mujeres;2017;54
Chipre;Mujeres;2016;54,7
Chipre;Mujeres;2015;56,8
Chipre;Mujeres;2014;57,4
Letonia;Hombres;2020;44,2
Letonia;Hombres;2019;43,8
Letonia;Hombres;2018;41,9
Letonia;Hombres;2017;42,1
Letonia;Hombres;2016;40,9
Letonia;Hombres;2015;40,4
Letonia;Hombres;2014;42,5
Letonia;Mujeres;2020;55,8
Letonia;Mujeres;2019;56,2
Letonia;Mujeres;2018;58,1
Letonia;Mujeres;2017;57,9
Letonia;Mujeres;2016;59,1
Letonia;Mujeres;2015;59,6
Letonia;Mujeres;2014;57,5
Lituania;Hombres;2020;42,7
Lituania;Hombres;2019;43,2
